account_id,customer_id,account_type,balance,status,created_at
1,1,savings,1904.0,active,2026-05-25 07:11:52
2,2,current,65933.0,active,2026-05-25 07:12:29
3,2,savings,9641.0,active,2026-05-25 07:12:49
4,2,savings,36815.0,active,2026-05-25 07:12:57
5,2,current,47249.0,active,2026-05-25 07:13:15
6,2,savings,12630.0,active,2026-05-25 07:13:41
7,1,current,59677.0,active,2026-05-25 07:13:47
8,3,savings,93454.0,active,2026-05-25 07:13:53
9,5,savings,46491.0,active,2026-05-25 07:14:07
10,5,current,70360.0,active,2026-05-25 07:14:09
11,7,savings,58971.0,active,2026-05-25 07:14:25
12,1,current,14315.0,active,2026-05-25 07:14:29
13,8,savings,37085.0,active,2026-05-25 07:15:16
14,3,current,53935.0,active,2026-05-25 07:15:26
15,9,savings,97416.0,active,2026-05-25 07:15:32
16,1,savings,97263.0,active,2026-05-25 07:16:30
17,1,current,71363.0,active,2026-05-25 07:16:32
18,6,current,62242.0,active,2026-05-25 07:16:38
19,7,current,24682.0,active,2026-05-25 07:16:54
20,1,savings,49217.0,active,2026-05-25 07:16:58
21,10,current,73739.0,active,2026-05-25 07:17:06
22,12,savings,23559.0,active,2026-05-25 07:17:26
23,4,savings,65484.0,active,2026-05-25 07:18:00
24,15,savings,86141.0,active,2026-05-25 07:18:06
25,2,current,52176.0,active,2026-05-25 07:18:29
26,12,savings,40013.0,active,2026-05-25 07:18:33
27,15,current,75655.0,active,2026-05-25 07:18:37
28,17,current,92736.0,active,2026-05-25 07:18:39
29,19,savings,6582.0,active,2026-05-25 07:18:57
30,19,savings,86693.0,active,2026-05-25 07:19:07
31,9,current,74320.0,active,2026-05-25 07:19:37
32,21,savings,16061.0,active,2026-05-25 07:19:49
33,13,savings,14535.0,active,2026-05-25 07:20:11
34,24,savings,8471.0,active,2026-05-25 07:20:41
35,9,savings,21818.0,active,2026-05-25 07:20:49
36,4,current,73950.0,active,2026-05-25 07:20:53
37,10,current,10888.0,active,2026-05-25 07:21:21
