loan_id,customer_id,loan_amount,interest_rate,loan_status,created_at
1,1,260209.0,5.41,closed,2026-05-25 07:12:04
2,1,162624.0,6.32,active,2026-05-25 07:12:10
3,2,293047.0,11.34,active,2026-05-25 07:12:14
4,1,136147.0,8.93,active,2026-05-25 07:13:01
5,2,476683.0,5.31,closed,2026-05-25 07:13:07
6,1,71571.0,8.37,closed,2026-05-25 07:13:23
7,3,496989.0,9.67,active,2026-05-25 07:13:37
8,2,239711.0,7.2,closed,2026-05-25 07:14:05
9,6,481103.0,8.93,closed,2026-05-25 07:14:13
10,4,242818.0,7.95,closed,2026-05-25 07:14:15
11,1,214625.0,10.21,closed,2026-05-25 07:14:19
12,1,299892.0,10.66,closed,2026-05-25 07:14:57
13,2,162034.0,9.44,closed,2026-05-25 07:16:04
14,9,188757.0,10.18,closed,2026-05-25 07:16:06
15,11,61428.0,9.37,active,2026-05-25 07:16:08
16,3,96421.0,7.54,closed,2026-05-25 07:16:14
17,8,385718.0,10.79,closed,2026-05-25 07:17:08
18,16,111597.0,8.75,closed,2026-05-25 07:18:02
19,9,364627.0,5.41,closed,2026-05-25 07:18:22
20,2,248282.0,10.98,closed,2026-05-25 07:19:15
21,18,167359.0,6.82,closed,2026-05-25 07:19:25
22,6,65330.0,8.35,closed,2026-05-25 07:19:45
23,5,125842.0,10.2,active,2026-05-25 07:20:09
24,20,239036.0,7.98,active,2026-05-25 07:21:03
25,20,155479.0,6.51,closed,2026-05-25 07:21:07
