transaction_id,account_id,transaction_type,amount,transaction_time,description
1,1,debit,4098.58,2026-05-25 07:11:56,ATM/Online Txn
2,1,credit,4580.16,2026-05-25 07:11:58,ATM/Online Txn
3,1,debit,2815.28,2026-05-25 07:12:02,ATM/Online Txn
4,1,credit,481.77,2026-05-25 07:12:06,ATM/Online Txn
5,1,credit,2548.46,2026-05-25 07:12:08,ATM/Online Txn
6,1,debit,3191.55,2026-05-25 07:12:16,ATM/Online Txn
7,1,debit,169.43,2026-05-25 07:12:21,ATM/Online Txn
8,1,credit,1933.64,2026-05-25 07:12:23,ATM/Online Txn
9,1,credit,193.81,2026-05-25 07:12:25,ATM/Online Txn
10,1,credit,1554.44,2026-05-25 07:12:27,ATM/Online Txn
11,1,debit,1332.31,2026-05-25 07:12:31,ATM/Online Txn
12,2,debit,341.71,2026-05-25 07:12:33,ATM/Online Txn
13,1,debit,2144.64,2026-05-25 07:12:37,ATM/Online Txn
14,2,credit,2949.31,2026-05-25 07:12:39,ATM/Online Txn
15,2,credit,1740.72,2026-05-25 07:12:41,ATM/Online Txn
16,2,debit,4095.05,2026-05-25 07:12:43,ATM/Online Txn
17,1,credit,2358.66,2026-05-25 07:12:47,ATM/Online Txn
18,3,credit,3282.7,2026-05-25 07:12:51,ATM/Online Txn
19,1,credit,2025.49,2026-05-25 07:12:55,ATM/Online Txn
20,2,credit,4356.07,2026-05-25 07:12:59,ATM/Online Txn
21,3,credit,521.82,2026-05-25 07:13:05,ATM/Online Txn
22,2,credit,2940.95,2026-05-25 07:13:09,ATM/Online Txn
23,4,debit,4768.91,2026-05-25 07:13:13,ATM/Online Txn
24,1,debit,3329.35,2026-05-25 07:13:17,ATM/Online Txn
25,3,credit,3354.93,2026-05-25 07:13:21,ATM/Online Txn
26,4,debit,3808.97,2026-05-25 07:13:27,ATM/Online Txn
27,1,debit,913.94,2026-05-25 07:13:33,ATM/Online Txn
28,5,debit,4546.82,2026-05-25 07:13:35,ATM/Online Txn
