claim_id,policy_id,customer_id,claim_date,claim_amount,claim_type,status
CLM00001,POL00001,CUST00001,2022-08-13,14882.4,Vandalism,Approved
CLM00002,POL00002,CUST00002,2023-12-29,19622.09,Vandalism,Rejected
CLM00003,POL00003,CUST00003,2022-01-11,17038.31,Theft,Pending
CLM00004,POL00004,CUST00004,2022-05-08,8926.68,Theft,Pending
CLM00005,POL00005,CUST00005,2022-12-10,8629.83,Vandalism,Approved
CLM00006,POL00006,CUST00006,2023-09-11,2991.62,Vandalism,Approved
CLM00007,POL00007,CUST00007,2022-08-10,5887.93,Collision,Approved
CLM00008,POL00008,CUST00008,2023-04-01,10898.85,Collision,Approved
CLM00009,POL00009,CUST00009,2022-05-20,15377.08,Collision,Pending
CLM00010,POL00010,CUST00010,2023-03-11,1249.18,Fire,Approved
CLM00011,POL00011,CUST00011,2023-01-21,9092.14,Theft,Rejected
CLM00012,POL00012,CUST00012,2022-06-04,19922.51,Collision,Pending
CLM00013,POL00013,CUST00013,2022-02-03,475.64,Vandalism,Rejected
CLM00014,POL00014,CUST00014,2022-06-17,3605.6,Vandalism,Pending
CLM00015,POL00015,CUST00015,2023-05-01,15863.14,Theft,Rejected
CLM00016,POL00016,CUST00016,2022-01-23,13261.51,Vandalism,Rejected
CLM00017,POL00017,CUST00017,2023-05-15,17637.97,Fire,Pending
CLM00018,POL00018,CUST00018,2022-04-09,11644.35,Vandalism,Approved
CLM00019,POL00019,CUST00019,2023-10-08,11612.63,Fire,Approved
CLM00020,POL00020,CUST00020,2022-07-04,1000.55,Vandalism,Approved
CLM00021,POL00021,CUST00021,2023-01-06,12695.67,Collision,Rejected
CLM00022,POL00022,CUST00022,2023-05-13,18966.32,Fire,Approved
CLM00023,POL00023,CUST00023,2022-11-24,10321.75,Fire,Pending
CLM00024,POL00024,CUST00024,2022-12-08,14802.61,Vandalism,Pending
CLM00025,POL00025,CUST00025,2023-03-03,18685.45,Fire,Rejected
CLM00026,POL00026,CUST00026,2023-08-31,4377.29,Fire,Rejected
CLM00027,POL00027,CUST00027,2023-01-27,19645.84,Vandalism,Pending
CLM00028,POL00028,CUST00028,2023-05-06,18775.63,Collision,Pending
