payment_id,policy_id,payment_date,amount,payment_method,transaction_id,status
PAY00001,POL00001,2022-05-24,119.85,Net Banking,TXN00001,Success
PAY00002,POL00002,2022-02-16,1784.81,UPI,TXN00002,Success
PAY00003,POL00003,2022-07-08,1210.99,Net Banking,TXN00003,Success
PAY00004,POL00004,2022-12-09,235.25,Bank Transfer,TXN00004,Success
PAY00005,POL00005,2023-02-10,1239.81,Debit Card,TXN00005,Success
PAY00006,POL00006,2023-01-14,874.09,Net Banking,TXN00006,Success
PAY00007,POL00007,2023-02-26,1577.94,UPI,TXN00007,Success
PAY00008,POL00008,2023-01-29,417.32,Bank Transfer,TXN00008,Success
PAY00009,POL00009,2022-10-22,568.27,UPI,TXN00009,Success
PAY00010,POL00010,2023-07-25,878.84,UPI,TXN00010,Success
PAY00011,POL00011,2023-04-18,516.51,Bank Transfer,TXN00011,Success
PAY00012,POL00012,2022-08-29,238.9,Net Banking,TXN00012,Success
PAY00013,POL00013,2022-02-22,1832.34,Debit Card,TXN00013,Success
PAY00014,POL00014,2022-11-24,1788.18,Net Banking,TXN00014,Success
PAY00015,POL00015,2023-12-20,1263.1,Credit Card,TXN00015,Success
PAY00016,POL00016,2022-01-25,399.4,Net Banking,TXN00016,Success
PAY00017,POL00017,2023-02-04,1187.65,UPI,TXN00017,Success
PAY00018,POL00018,2023-02-27,287.18,Debit Card,TXN00018,Success
PAY00019,POL00019,2022-03-10,576.32,Credit Card,TXN00019,Success
PAY00020,POL00020,2023-02-07,477.85,UPI,TXN00020,Success
PAY00021,POL00021,2023-07-02,1459.1,UPI,TXN00021,Success
PAY00022,POL00022,2023-10-01,1475.38,Debit Card,TXN00022,Success
PAY00023,POL00023,2022-12-12,1198.31,UPI,TXN00023,Success
PAY00024,POL00024,2022-12-01,1201.1,UPI,TXN00024,Success
PAY00025,POL00025,2022-03-15,1540.16,Bank Transfer,TXN00025,Success
PAY00026,POL00026,2022-12-10,1583.8,Debit Card,TXN00026,Success
PAY00027,POL00027,2022-05-12,710.28,Credit Card,TXN00027,Success
PAY00028,POL00028,2022-01-30,1897.16,Debit Card,TXN00028,Success
PAY00029,POL00029,2022-07-29,1860.22,Net Banking,TXN00029,Success
PAY00030,POL00030,2022-08-03,1472.94,Credit Card,TXN00030,Success
PAY00031,POL00031,2022-11-23,1764.8,Bank Transfer,TXN00031,Success
PAY00032,POL00032,2023-02-19,1889.58,Net Banking,TXN00032,Success
PAY00033,POL00033,2022-10-24,296.4,UPI,TXN00033,Success
PAY00034,POL00034,2023-12-06,304.25,Debit Card,TXN00034,Success
PAY00035,POL00035,2022-06-21,132.81,Credit Card,TXN00035,Success
PAY00036,POL00036,2023-12-02,1521.93,Net Banking,TXN00036,Success
PAY00037,POL00037,2023-12-01,788.84,Credit Card,TXN00037,Success
PAY00038,POL00038,2022-02-03,1667.3,Bank Transfer,TXN00038,Success
PAY00039,POL00039,2022-06-21,1828.89,UPI,TXN00039,Success
