policy_id,customer_id,policy_number,policy_type,start_date,end_date,premium_amount,status
POL00001,CUST00001,PN00001,Life,2021-12-13,2022-12-13,743.61,Active
POL00002,CUST00002,PN00002,Life,2022-04-27,2023-04-27,1270.85,Active
POL00003,CUST00003,PN00003,Home,2022-12-10,2023-12-10,1163.91,Active
POL00004,CUST00004,PN00004,Auto,2020-06-24,2021-06-24,1596.09,Active
POL00005,CUST00005,PN00005,Health,2020-05-12,2021-05-12,1690.36,Active
POL00006,CUST00006,PN00006,Auto,2020-08-02,2021-08-02,1046.94,Active
POL00007,CUST00007,PN00007,Auto,2021-07-04,2022-07-04,930.7,Active
POL00008,CUST00008,PN00008,Auto,2022-03-31,2023-03-31,977.82,Active
POL00009,CUST00009,PN00009,Auto,2022-03-31,2023-03-31,1839.43,Active
POL00010,CUST00010,PN00010,Life,2022-11-25,2023-11-25,1712.77,Active
POL00011,CUST00011,PN00011,Life,2021-12-16,2022-12-16,1611.59,Active
POL00012,CUST00012,PN00012,Auto,2021-04-25,2022-04-25,803.58,Active
POL00013,CUST00013,PN00013,Home,2021-06-28,2022-06-28,1513.26,Active
POL00014,CUST00014,PN00014,Life,2022-06-27,2023-06-27,1851.0,Active
POL00015,CUST00015,PN00015,Health,2022-01-05,2023-01-05,504.95,Active
POL00016,CUST00016,PN00016,Home,2021-01-23,2022-01-23,1788.03,Active
POL00017,CUST00017,PN00017,Auto,2020-05-03,2021-05-03,1454.81,Active
POL00018,CUST00018,PN00018,Health,2022-01-03,2023-01-03,316.92,Active
POL00019,CUST00019,PN00019,Auto,2021-03-14,2022-03-14,1974.82,Active
POL00020,CUST00020,PN00020,Home,2020-02-05,2021-02-04,914.06,Active
POL00021,CUST00021,PN00021,Life,2022-09-29,2023-09-29,656.55,Active
POL00022,CUST00022,PN00022,Auto,2020-06-24,2021-06-24,993.44,Active
POL00023,CUST00023,PN00023,Life,2021-05-29,2022-05-29,1398.06,Active
POL00024,CUST00024,PN00024,Home,2022-12-03,2023-12-03,1539.53,Active
POL00025,CUST00025,PN00025,Home,2021-09-14,2022-09-14,1431.47,Active
POL00026,CUST00026,PN00026,Health,2020-09-02,2021-09-02,712.33,Active
POL00027,CUST00027,PN00027,Auto,2022-06-30,2023-06-30,1186.54,Active
POL00028,CUST00028,PN00028,Home,2021-09-05,2022-09-05,789.07,Active
POL00029,CUST00029,PN00029,Life,2022-01-03,2023-01-03,1715.44,Active
POL00030,CUST00030,PN00030,Life,2020-05-07,2021-05-07,947.46,Active
POL00031,CUST00031,PN00031,Life,2020-07-04,2021-07-04,656.25,Active
POL00032,CUST00032,PN00032,Home,2022-12-24,2023-12-24,1981.31,Active
POL00033,CUST00033,PN00033,Home,2020-03-09,2021-03-09,1559.67,Active
POL00034,CUST00034,PN00034,Home,2021-06-01,2022-06-01,453.72,Active
POL00035,CUST00035,PN00035,Life,2021-04-19,2022-04-19,1567.38,Active
POL00036,CUST00036,PN00036,Home,2020-12-05,2021-12-05,530.62,Active
POL00037,CUST00037,PN00037,Life,2020-01-12,2021-01-11,634.2,Active
POL00038,CUST00038,PN00038,Health,2020-01-04,2021-01-03,1354.39,Active
POL00039,CUST00039,PN00039,Auto,2021-08-24,2022-08-24,732.33,Active
POL00040,CUST00040,PN00040,Auto,2021-08-01,2022-08-01,1189.4,Active
POL00041,CUST00041,PN00041,Life,2021-04-11,2022-04-11,973.78,Active
POL00042,CUST00042,PN00042,Health,2022-06-30,2023-06-30,1099.53,Active
POL00043,CUST00043,PN00043,Home,2021-07-30,2022-07-30,1811.75,Active
POL00044,CUST00044,PN00044,Auto,2020-12-17,2021-12-17,746.42,Active
POL00045,CUST00045,PN00045,Auto,2020-10-14,2021-10-14,1272.94,Active
POL00046,CUST00046,PN00046,Life,2020-04-29,2021-04-29,1342.85,Active
POL00047,CUST00047,PN00047,Auto,2022-07-31,2023-07-31,1819.91,Active
POL00048,CUST00048,PN00048,Auto,2022-08-02,2023-08-02,606.42,Active
POL00049,CUST00049,PN00049,Home,2021-05-25,2022-05-25,1201.26,Active
POL00050,CUST00050,PN00050,Health,2021-05-10,2022-05-10,999.74,Active
POL00051,CUST00051,PN00051,Home,2021-08-11,2022-08-11,909.23,Active
POL00052,CUST00052,PN00052,Life,2020-08-03,2021-08-03,851.63,Active
POL00053,CUST00053,PN00053,Life,2021-09-19,2022-09-19,1556.42,Active
POL00054,CUST00054,PN00054,Life,2021-11-02,2022-11-02,1668.62,Active
POL00055,CUST00055,PN00055,Home,2021-06-26,2022-06-26,1891.85,Active
POL00056,CUST00056,PN00056,Auto,2021-04-14,2022-04-14,1918.89,Active
POL00057,CUST00057,PN00057,Home,2022-07-30,2023-07-30,1973.25,Active
POL00058,CUST00058,PN00058,Home,2022-08-20,2023-08-20,1247.44,Active
POL00059,CUST00059,PN00059,Health,2021-04-03,2022-04-03,1756.66,Active
POL00060,CUST00060,PN00060,Home,2020-10-23,2021-10-23,816.66,Active
POL00061,CUST00061,PN00061,Life,2022-07-11,2023-07-11,1268.6,Active
POL00062,CUST00062,PN00062,Home,2022-03-12,2023-03-12,1590.67,Active
POL00063,CUST00063,PN00063,Life,2022-06-25,2023-06-25,1345.11,Active
POL00064,CUST00064,PN00064,Health,2022-09-01,2023-09-01,395.18,Active
POL00065,CUST00065,PN00065,Life,2021-11-28,2022-11-28,1519.21,Active
POL00066,CUST00066,PN00066,Home,2020-02-09,2021-02-08,1549.45,Active
POL00067,CUST00067,PN00067,Home,2021-05-02,2022-05-02,467.76,Active
POL00068,CUST00068,PN00068,Life,2021-04-05,2022-04-05,1787.59,Active
POL00069,CUST00069,PN00069,Auto,2021-05-21,2022-05-21,1850.85,Active
POL00070,CUST00070,PN00070,Auto,2021-02-16,2022-02-16,919.9,Active
POL00071,CUST00071,PN00071,Auto,2022-03-23,2023-03-23,1941.35,Active
POL00072,CUST00072,PN00072,Life,2021-02-25,2022-02-25,1286.15,Active
POL00073,CUST00073,PN00073,Health,2021-05-03,2022-05-03,1279.29,Active
